Stadium Code,Name,City,State,Capacity,Surface,Year Opened
1,Jordan-Hare Stadium,Auburn,AL,87451,Natural Grass,1939
329,Protective Stadium,Birmingham,AL,47100,Artificial Turf,2021
207,Burgess-Snow Field,Jacksonville,AL,24000,Artificial Turf,1947
197,Hancock Whitney Stadium,Mobile,AL,25450,Artificial Turf,2020
4,Veterans Memorial Stadium,Troy,AL,30000,Artificial Turf,1950
5,Bryant-Denny Stadium,Tuscaloosa,AL,101821,Natural Grass,1929
6,Donald W. Reynolds Razorback Stadium,Fayetteville,AR,80000,Artificial Turf,1938
7,Centennial Bank Stadium,Jonesboro,AR,30382,Artificial Turf,1974
8,War Memorial Stadium,Little Rock,AR,54120,Artificial Turf,1948
10,Sun Devil Stadium,Tempe,AZ,65870,Natural Grass,1958
11,Arizona Stadium,Tucson,AZ,50782,Artificial Turf,1929
12,California Memorial Stadium,Berkeley,CA,62467,Artificial Turf,1923
13,Bulldog Stadium,Fresno,CA,41031,Artificial Turf,1980
14,Los Angeles Memorial Coliseum,Los Angeles,CA,77500,Natural Grass,1923
15,Rose Bowl,Pasadena,CA,88565,Natural Grass,1922
746,Snapdragon Stadium,San Diego,CA,35000,Natural Grass,2022
18,CEFCU Stadium,San Jose,CA,30456,Artificial Turf,1933
19,Stanford Stadium,Stanford,CA,50424,Natural Grass,1921
20,Folsom Field,Boulder,CO,50183,Natural Grass,1924
21,Falcon Stadium,Colorado Springs,CO,46692,Artificial Turf,1962
22,Empower Field at Mile High,Denver,CO,76125,Natural Grass,2001
188,Canvas Stadium,Fort Collins,CO,36500,Artificial Turf,2017
25,Pratt & Whitney Stadium at Rentschler Field,Hartford,CT,40000,Natural Grass,2003
159,FAU Stadium,Boca Raton,FL,29419,Natural Grass,2011
27,Ben Hill Griffin Stadium at Florida Field,Gainesville,FL,88548,Natural Grass,1930
28,TIAA Bank Field,Jacksonville,FL,67858,Natural Grass,1946
30,Hard Rock Stadium,Miami,FL,64767,Natural Grass,1987
31,Riccardo Silva Stadium,Miami,FL,20000,Artificial Turf,1995
146,Bounce House,Orlando,FL,44206,Natural Grass,2007
32,Camping World Stadium,Orlando,FL,65000,Artificial Turf,1947
33,Doak Campbell Stadium,Tallahassee,FL,79560,Natural Grass,1950
35,Raymond James Stadium,Tampa,FL,65828,Natural Grass,1998
36,Sanford Stadium,Athens,GA,92746,Natural Grass,1929
37,Bobby Dodd Stadium,Atlanta,GA,55000,Natural Grass,1913
189,Center Parc Stadium,Atlanta,GA,25000,Artificial Turf,1997
192,Mercedes-Benz Stadium,Atlanta,GA,75000,Artificial Turf,2017
167,Allen E. Paulson Stadium,Statesboro,GA,25000,Artificial Turf,1984
203,Clarence T.C. Ching Athletics Complex,Honolulu,HI,9000,Artificial Turf,2015
40,MidAmerican Energy Field at Jack Trice Stadium,Ames,IA,61500,Natural Grass,1975
41,Kinnick Stadium,Iowa City,IA,69250,Artificial Turf,1929
42,Albertsons Stadium,Boise,ID,36387,Artificial Turf,1970
181,Aviva Stadium,Dublin,IE_L,49000,Natural Grass,2010
44,Memorial Stadium,Champaign,IL,60670,Artificial Turf,1924
156,Wrigley Field,Chicago,IL,47000,Natural Grass,1914
45,Huskie Stadium,De Kalb,IL,23595,Artificial Turf,1965
46,Ryan Field,Evanston,IL,47130,Natural Grass,1926
47,Memorial Stadium,Bloomington,IN,52656,Artificial Turf,1960
162,Lucas Oil Stadium,Indianapolis,IN,63000,Artificial Turf,2008
48,Scheumann Stadium,Muncie,IN,22500,Artificial Turf,1967
49,Notre Dame Stadium,South Bend,IN,80795,Artificial Turf,1930
50,Ross-Ade Stadium,West Lafayette,IN,57282,Natural Grass,1924
51,David Booth Kansas Memorial Stadium,Lawrence,KS,47000,Artificial Turf,1921
52,Bill Snyder Family Stadium,Manhattan,KS,50000,Artificial Turf,1968
148,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY,22113,Artificial Turf,1968
53,Kroger Field,Lexington,KY,61000,Artificial Turf,1973
54,Cardinal Stadium,Louisville,KY,60000,Artificial Turf,1998
55,Tiger Stadium,Baton Rouge,LA,102321,Natural Grass,1924
56,Cajun Field,Lafayette,LA,41426,Artificial Turf,1971
57,Malone Stadium,Monroe,LA,30427,Artificial Turf,1978
185,Yulman Stadium,New Orleans,LA,30000,Artificial Turf,2014
59,Joe Aillet Stadium,Ruston,LA,28019,Artificial Turf,1968
173,Warren McGuirk Alumni Stadium,Amherst,MA,17000,Artificial Turf,1965
61,Alumni Stadium,Chestnut Hill,MA,44500,Artificial Turf,1957
163,Gillette Stadium,Foxboro,MA,65878,Artificial Turf,2002
62,Navy-Marine Corps Memorial Stadium,Annapolis,MD,34000,Artificial Turf,1959
64,Capital One Field at Maryland Stadium,College Park,MD,51802,Artificial Turf,1950
66,Michigan Stadium,Ann Arbor,MI,107601,Artificial Turf,1927
67,Ford Field,Detroit,MI,64500,Artificial Turf,2002
68,Spartan Stadium,East Lansing,MI,75005,Natural Grass,1923
69,Waldo Stadium,Kalamazoo,MI,30200,Artificial Turf,1937
70,Kelly/Shorts Stadium,Mount Pleasant,MI,30255,Artificial Turf,1972
71,Rynearson Stadium,Ypsilanti,MI,30200,Artificial Turf,1969
153,TCF Bank Stadium,Minneapolis,MN,50850,Artificial Turf,2009
73,Faurot Field,Columbia,MO,71168,Artificial Turf,1927
149,The Dome at America's Center,St. Louis,MO,67277,Artificial Turf,1995
75,Roberts Stadium,Hattiesburg,MS,36000,Artificial Turf,1976
76,Vaught-Hemingway Stadium,Oxford,MS,64038,Natural Grass,1915
77,Davis Wade Stadium at Scott Field,Starkville,MS,61337,Natural Grass,1914
168,Kidd Brewer Stadium,Boone,NC,30000,Artificial Turf,1962
78,Kenan Stadium,Chapel Hill,NC,50500,Natural Grass,1927
79,Bank of America Stadium,Charlotte,NC,73778,Natural Grass,1996
179,Jerry Richardson Stadium,Charlotte,NC,15300,Artificial Turf,2013
80,Wallace Wade Stadium,Durham,NC,40004,Natural Grass,1929
81,Dowdy-Ficklen Stadium,Greenville,NC,50000,Natural Grass,1963
82,Carter-Finley Stadium,Raleigh,NC,58000,Natural Grass,1966
83,Truist Field,Winston-Salem,NC,31500,Artificial Turf,1968
84,Memorial Stadium,Lincoln,NE,85458,Artificial Turf,1923
86,SHI Stadium,Piscataway,NJ,52454,Artificial Turf,1994
87,Dreamstyle Stadium,Albuquerque,NM,39224,Artificial Turf,1960
