Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
231,0231036620230826,30,178,2,14,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,1,1,2,2,0,0,0,0,0,17,8,332,4,257,2,1,0,0,0,45,44,8.0,33,2.0,7,1,2,0,0,6,0,2,1302,5,50,12,3,0,0,1,0,0
277,0277073620230826,25,40,1,35,27,351,3,2,0,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,28,4,138,4,254,1,0,1,1,0,35,6,9.0,44,3.0,26,2,0,6,0,4,12,3,1851,7,59,11,3,4,3,5,3,0
315,0704031520230826,44,208,2,20,10,67,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,1,2,2,0,0,0,0,0,17,5,229,4,245,4,0,0,0,0,28,56,3.0,18,2.0,17,4,1,3,0,9,4,2,1522,4,52,16,7,2,1,2,0,0
366,0231036620230826,39,114,1,44,34,333,1,1,0,1,25,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,1,1,1,0,0,0,0,22,3,133,5,325,5,0,0,2,1,14,40,6.0,30,2.0,18,0,0,1,0,7,19,2,2298,5,47,16,8,1,1,2,0,0
400,0400047220230826,37,197,4,17,10,192,0,0,0,1,6,0,0,0,0,0,0,0,2,55,1,0,0,0,2,2,5,5,0,0,0,0,0,41,5,211,8,505,6,0,0,0,0,41,16,4.0,22,3.0,21,0,1,2,0,9,6,2,1618,8,69,12,4,1,1,5,0,0
472,0400047220230826,37,210,1,27,16,248,3,2,0,2,38,0,1,7,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,30,4,170,4,246,3,0,1,1,1,32,20,4.0,11,0.0,0,2,0,4,0,7,9,4,1905,3,25,9,2,1,1,3,0,0
513,0726051320230826,32,191,2,25,20,253,4,0,0,2,41,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,42,0,0,7,455,6,0,0,2,0,41,16,5.0,47,2.0,19,2,2,0,0,13,13,1,1606,1,10,7,5,1,1,5,0,0
519,0519062620230826,32,102,0,52,26,278,1,3,0,3,61,0,3,13,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,13,3,101,4,190,1,1,1,0,0,26,34,5.0,9,0.0,0,3,1,2,0,7,17,2,1956,6,54,17,7,2,2,4,0,0
626,0519062620230826,31,145,0,27,17,164,2,0,0,2,44,0,0,0,0,0,0,0,3,47,0,0,0,0,3,2,2,2,0,0,0,0,0,20,3,169,4,221,0,1,0,1,1,46,20,3.0,13,2.0,12,3,0,8,0,5,9,1,1643,6,57,13,4,2,1,3,0,0
630,0630065720230826,27,198,1,39,21,198,3,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,28,7,320,4,240,2,0,1,1,0,46,2,4.0,26,2.0,23,1,0,2,0,10,9,4,1842,3,21,13,5,1,0,2,0,0
657,0630065720230826,34,160,3,35,24,341,4,0,0,1,96,1,3,66,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,56,2,83,9,554,0,1,0,1,0,41,12,7.0,41,1.0,22,1,1,4,0,10,15,0,1758,8,57,13,9,2,1,5,0,0
704,0704031520230826,43,156,1,29,17,208,1,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,4,164,2,110,0,0,0,1,1,33,36,4.0,10,1.0,5,2,0,2,0,9,9,4,2078,5,55,12,3,3,1,1,0,0
726,0726051320230826,48,126,0,7,3,43,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,4,159,2,125,0,0,0,3,0,42,4,2.0,6,0.0,0,1,1,2,0,11,1,0,1994,3,26,14,4,4,3,2,0,0
736,0277073620230826,26,39,1,30,19,258,3,0,1,1,97,1,1,27,0,0,0,0,2,9,0,0,0,0,0,0,3,3,2,1,0,0,0,35,3,161,6,379,2,0,0,0,0,37,22,8.0,28,3.0,18,4,1,4,0,3,11,3,1437,8,72,12,5,3,1,2,2,0
