"","game_code","date","stadium_code","stadium_name","home_away","team_code","team_name","points","drives","minutes","duration"
"1","0231036620230826","08/26/2023",59,"Joe Aillet Stadium","away",231,"Florida International",17,12,217,"3 hours 37 minutes"
"2","0231036620230826","08/26/2023",59,"Joe Aillet Stadium","home",366,"Louisiana Tech",22,13,217,"3 hours 37 minutes"
"3","0277073620230826","08/26/2023",117,"Vanderbilt Stadium","away",277,"Hawai'i",28,11,214,"3 hours 34 minutes"
"4","0277073620230826","08/26/2023",117,"Vanderbilt Stadium","home",736,"Vanderbilt",35,11,214,"3 hours 34 minutes"
"5","0519062620230826","08/26/2023",746,"Snapdragon Stadium","away",519,"Ohio",13,10,213,"3 hours 33 minutes"
"6","0519062620230826","08/26/2023",746,"Snapdragon Stadium","home",626,"San Diego State",20,10,213,"3 hours 33 minutes"
"7","0400047220230826","08/26/2023",88,"Aggie Memorial Stadium","away",400,"Massachusetts",41,11,212,"3 hours 32 minutes"
"8","0400047220230826","08/26/2023",88,"Aggie Memorial Stadium","home",472,"New Mexico State",30,13,212,"3 hours 32 minutes"
"9","0630065720230826","08/26/2023",14,"Los Angeles Memorial Coliseum","away",630,"San Jose State",28,13,207,"3 hours 27 minutes"
"10","0630065720230826","08/26/2023",14,"Los Angeles Memorial Coliseum","home",657,"USC",56,11,207,"3 hours 27 minutes"
"11","0704031520230826","08/26/2023",207,"Burgess-Snow Field","away",704,"UTEP",14,11,195,"3 hours 15 minutes"
"12","0704031520230826","08/26/2023",207,"Burgess-Snow Field","home",315,"Jacksonville State",17,11,195,"3 hours 15 minutes"
"13","0726051320230826","08/26/2023",181,"Aviva Stadium","away",726,"Navy",3,8,170,"2 hours 50 minutes"
"14","0726051320230826","08/26/2023",181,"Aviva Stadium","home",513,"Notre Dame",42,8,170,"2 hours 50 minutes"
