"Id","Season","Week","Season Type","Home Division","Away Division"
"401426532","2022","1","regular","fbs","fcs"
"401405059","2022","1","regular","fbs","fbs"
"401413256","2022","1","regular","fbs","fcs"
"401404146","2022","1","regular","fbs","fbs"
"401405058","2022","1","regular","fbs","fbs"
"401411090","2022","1","regular","fbs","fcs"
"401426530","2022","1","regular","fbs","fbs"
"401411091","2022","1","regular","fbs","fcs"
"401426531","2022","1","regular","fbs","fbs"
"401409235","2022","1","regular","fbs","fbs"
"401403853","2022","1","regular","fbs","fbs"
"401416568","2022","1","regular","fbs","fcs"
"401426533","2022","1","regular","fbs","fcs"
"401415610","2022","1","regular","fbs","fcs"
"401416569","2022","1","regular","fbs","fbs"
"401441990","2022","1","regular","fbs","fcs"
"401411092","2022","1","regular","fbs","fbs"
"401403864","2022","1","regular","fbs","fbs"
"401411093","2022","1","regular","fbs","fcs"
"401416592","2022","1","regular","fbs","fcs"
"401405064","2022","1","regular","fbs","fbs"
"401426537","2022","1","regular","fbs","fbs"
"401426534","2022","1","regular","fbs","fcs"
"401405060","2022","1","regular","fbs","fbs"
"401403965","2022","1","regular","fbs","fcs"
"401415213","2022","1","regular","fbs","fcs"
"401413224","2022","1","regular","fbs","fcs"
"401416591","2022","1","regular","fbs","fbs"
"401426330","2022","1","regular","fbs","fbs"
"401426535","2022","1","regular","fbs","fcs"
"401416590","2022","1","regular","fbs","fcs"
"401411094","2022","1","regular","fbs","fbs"
"401404052","2022","1","regular","fbs","fcs"
"401405061","2022","1","regular","fbs","fbs"
"401403966","2022","1","regular","fbs","fbs"
"401404147","2022","1","regular","fbs","fcs"
"401415611","2022","1","regular","fbs","fcs"
"401405062","2022","1","regular","fbs","fcs"
"401411096","2022","1","regular","fbs","fbs"
"401403865","2022","1","regular","fbs","fcs"
"401405066","2022","1","regular","fbs","fbs"
"401405069","2022","1","regular","fbs","fbs"
"401405067","2022","1","regular","fbs","fbs"
"401411095","2022","1","regular","fbs","fbs"
"401411100","2022","1","regular","fbs","fcs"
"401415209","2022","1","regular","fbs","fcs"
"401404057","2022","1","regular","fbs","fcs"
"401403971","2022","1","regular","fbs","fbs"
"401426541","2022","1","regular","fbs","fbs"
"401403855","2022","1","regular","fbs","fbs"
"401426542","2022","1","regular","fbs","fbs"
"401415211","2022","1","regular","fbs","fbs"
"401403967","2022","1","regular","fbs","fbs"
"401405063","2022","1","regular","fbs","fcs"
"401411097","2022","1","regular","fbs","fcs"
"401403858","2022","1","regular","fbs","fbs"
"401415015","2022","1","regular","fbs","fcs"
"401403968","2022","1","regular","fbs","fcs"
"401415612","2022","1","regular","fbs","fbs"
"401403860","2022","1","regular","fbs","fbs"
"401421116","2022","1","regular","fbs","fcs"
"401415212","2022","1","regular","fbs","fbs"
"401420777","2022","1","regular","fbs","fcs"
"401426540","2022","1","regular","fbs","fbs"
"401426538","2022","1","regular","fbs","fbs"
"401426536","2022","1","regular","fbs","fbs"
"401404157","2022","1","regular","fbs","fbs"
"401403857","2022","1","regular","fbs","fbs"
"401403859","2022","1","regular","fbs","fbs"
"401414778","2022","1","regular","fbs","fbs"
"401404134","2022","1","regular","fbs","fbs"
"401404056","2022","1","regular","fbs","fcs"
"401405065","2022","1","regular","fbs","fcs"
"401424416","2022","1","regular","fbs","fcs"
"401403866","2022","1","regular","fbs","fcs"
"401403856","2022","1","regular","fbs","fcs"
"401425418","2022","1","regular","fbs","fcs"
"401421121","2022","1","regular","fbs","fcs"
"401403863","2022","1","regular","fbs","fbs"
"401403861","2022","1","regular","fbs","fbs"
"401426539","2022","1","regular","fbs","fbs"
"401403854","2022","1","regular","fbs","fbs"
"401404124","2022","1","regular","fbs","fbs"
"401404059","2022","1","regular","fbs","fbs"
"401411099","2022","1","regular","fbs","fbs"
"401415210","2022","1","regular","fbs","fcs"
"401403970","2022","1","regular","fbs","fcs"
"401404055","2022","1","regular","fbs","fcs"
"401403974","2022","1","regular","fbs","fcs"
"401403969","2022","1","regular","fbs","fbs"
"401403973","2022","1","regular","fbs","fbs"
"401426543","2022","1","regular","fbs","fbs"
"401403867","2022","1","regular","fbs","fbs"
"401411101","2022","1","regular","fbs","fbs"
"401441993","2022","1","postseason","fbs","fbs"
"401441994","2022","1","postseason","fbs","fbs"
"401441995","2022","1","postseason","fbs","fbs"
"401441999","2022","1","postseason","fbs","fbs"
"401442038","2022","1","postseason","fbs","fbs"
"401442041","2022","1","postseason","fbs","fbs"
"401441997","2022","1","postseason","fbs","fbs"
"401442001","2022","1","postseason","fbs","fbs"
"401442003","2022","1","postseason","fbs","fbs"
"401442004","2022","1","postseason","fbs","fbs"
"401442006","2022","1","postseason","fbs","fbs"
"401442039","2022","1","postseason","fbs","fbs"
"401442040","2022","1","postseason","fbs","fbs"
"401442042","2022","1","postseason","fbs","fbs"
"401442007","2022","1","postseason","fbs","fbs"
"401442009","2022","1","postseason","fbs","fbs"
"401442037","2022","1","postseason","fbs","fbs"
"401441998","2022","1","postseason","fbs","fbs"
"401442000","2022","1","postseason","fbs","fbs"
"401442002","2022","1","postseason","fbs","fbs"
"401442005","2022","1","postseason","fbs","fbs"
"401442008","2022","1","postseason","fbs","fbs"
"401442030","2022","1","postseason","fbs","fbs"
"401470891","2022","1","postseason","fbs","fbs"
"401442031","2022","1","postseason","fbs","fbs"
"401442032","2022","1","postseason","fbs","fbs"
"401442033","2022","1","postseason","fbs","fbs"
"401442034","2022","1","postseason","fbs","fbs"
"401442035","2022","1","postseason","fbs","fbs"
"401443542","2022","1","postseason","fbs","fbs"
"401442036","2022","1","postseason","fbs","fbs"
"401443543","2022","1","postseason","fbs","fbs"
"401442019","2022","1","postseason","fbs","fbs"
"401442018","2022","1","postseason","fbs","fbs"
"401442017","2022","1","postseason","fbs","fbs"
"401442016","2022","1","postseason","fbs","fbs"
"401442015","2022","1","postseason","fbs","fbs"
"401442011","2022","1","postseason","fbs","fbs"
"401442012","2022","1","postseason","fbs","fbs"
"401442013","2022","1","postseason","fbs","fbs"
"401442014","2022","1","postseason","fbs","fbs"
"401442010","2022","1","postseason","fbs","fbs"
"401415613","2022","2","regular","fbs","fbs"
"401415214","2022","2","regular","fbs","fbs"
"401403868","2022","2","regular","fbs","fbs"
"401405073","2022","2","regular","fbs","fbs"
"401405079","2022","2","regular","fbs","fbs"
"401411103","2022","2","regular","fbs","fbs"
"401411105","2022","2","regular","fbs","fbs"
