Date,Opponent,Result,Game Time,Attendance,Year,Team_Code
9/1/22,7 Penn St.,L 31-35,3:59,"57,307",2022,559
9/10/22,Indiana St.,W 56-0,3:07,"53,676",2022,559
9/17/22,@ Syracuse,L 29-32,4:03,"35,943",2022,559
9/24/22,Fla. Atlantic,W 28-26,3:18,"55,137",2022,559
10/1/22,@ Minnesota,W 20-10,3:20,"48,288",2022,559
10/8/22,@ Maryland,W 31-29,3:31,"36,204",2022,559
10/15/22,Nebraska,W 43-37,3:31,"61,320",2022,559
10/22/22,@ Wisconsin,L 24-35,3:20,"75,018",2022,559
11/5/22,Iowa,L 3-24,3:12,"61,320",2022,559
11/12/22,@ Illinois,W 31-24,4:08,"45,574",2022,559
11/19/22,Northwestern,W 17-9,3:05,"54,016",2022,559
11/26/22,@ Indiana,W 30-16,3:05,"51,148",2022,559
12/3/22,+ 3 Michigan,L 22-43,3:42,"67,107",2022,559
1/2/23,+ 16 LSU,L 7-63,3:37,"42,791",2022,559
9/2/22,@ Old Dominion,L 17-20,4:07,"21,944",2022,742
9/10/22,Boston College,W 27-10,3:06,"65,632",2022,742
9/17/22,Wofford,W 27-7,2:51,"62,043",2022,742
9/22/22,West Virginia,L 10-33,3:21,"65,632",2022,742
10/1/22,@ North Carolina,L 10-41,3:13,"45,029",2022,742
10/8/22,@ 22 Pittsburgh,L 29-45,3:32,"54,677",2022,742
10/15/22,Miami (Fla.),L 14-20,3:15,"65,632",2022,742
10/27/22,@ North Carolina St.,L 21-22,3:27,"56,919",2022,742
11/5/22,Georgia Tech,L 27-28,3:25,"62,844",2022,742
11/12/22,@ Duke,L 7-24,2:48,"20,857",2022,742
11/19/22,@ Liberty,W 23-22,3:08,"23,055",2022,742
9/3/22,@ Kentucky,L 13-37,3:16,"61,139",2022,414
9/10/22,Robert Morris,W 31-14,3:19,"9,828",2022,414
9/17/22,#NAME?,L 17-38,3:36,"30,109",2022,414
9/24/22,@ Northwestern,W 17-14,3:18,"23,773",2022,414
10/1/22,@ Buffalo,L 20-24,3:27,"18,615",2022,414
10/8/22,Kent St.,W 27-24,3:13,"14,366",2022,414
10/15/22,@ Bowling Green,L 13-17,3:11,"7,841",2022,414
10/22/22,Western Mich.,L 10-16,3:47,"21,618",2022,414
10/29/22,@ Akron,W 27-9,3:28,"11,749",2022,414
11/8/22,Ohio,L 21-37,3:31,"15,490",2022,414
11/16/22,@ Northern Ill.,W 29-23,3:16,"5,187",2022,414
11/22/22,Ball St.,W 18-17,3:25,"14,021",2022,414
12/16/22,#NAME?,L 20-24,3:18,"12,172",2022,414
9/3/22,@ 9 Tulane,L 10-42,3:20,"15,101",2022,400
9/10/22,@ Toledo,L 10-55,3:22,"20,147",2022,400
9/17/22,Stony Brook,W 20-3,3:27,"10,011",2022,400
9/24/22,@ Temple,L 0-28,3:10,"14,033",2022,400
10/1/22,@ Eastern Mich.,L 13-20,3:20,"16,478",2022,400
10/8/22,Liberty,L 24-42,3:46,"11,217",2022,400
10/15/22,Buffalo,L 7-34,3:28,"13,378",2022,400
10/29/22,New Mexico St.,L 13-23,3:15,"9,274",2022,400
11/4/22,@ Connecticut,L 10-27,3:06,"23,430",2022,400
11/12/22,@ Arkansas St.,L 33-35,3:42,"14,354",2022,400
11/19/22,@ Texas A&M,L 3-20,3:09,"90,177",2022,400
11/26/22,Army,L 7-44,2:51,"10,119",2022,400
9/1/22,Northern Ariz.,W 40-3,1:42,"44,764",2022,28
9/10/22,@ Oklahoma St.,L 17-34,3:28,"54,949",2022,28
9/17/22,Eastern Mich.,L 21-30,3:05,"43,788",2022,28
9/24/22,10 Utah,L 13-34,3:06,"39,876",2022,28
10/1/22,@ 12 Southern California,L 25-42,3:07,"62,133",2022,28
10/8/22,8 Washington,W 45-38,3:39,"39,244",2022,28
10/22/22,@ Stanford,L 14-15,3:17,"25,061",2022,28
10/29/22,@ Colorado,W 42-34,3:41,"40,334",2022,28
11/5/22,21 UCLA,L 36-50,3:28,"51,265",2022,28
11/12/22,@ Washington St.,L 18-28,3:21,"24,039",2022,28
11/19/22,17 Oregon St.,L 7-31,3:07,"39,551",2022,28
11/25/22,@ Arizona,L 35-38,3:29,"49,865",2022,28
9/3/22,Rutgers,L 21-22,3:27,"35,048",2022,67
9/10/22,@ Virginia Tech,L 10-27,3:06,"65,632",2022,67
9/17/22,Maine,W 38-17,3:18,"34,325",2022,67
9/24/22,@ 11 Florida St.,L 14-44,3:11,"79,560",2022,67
10/1/22,Louisville,W 34-33,3:38,"38,517",2022,67
10/8/22,13 Clemson,L 3-31,3:09,"42,138",2022,67
10/22/22,@ Wake Forest,L 15-43,3:15,"28,530",2022,67
10/29/22,@ Connecticut,L 3-13,3:11,"25,527",2022,67
11/4/22,Duke,L 31-38,3:25,"34,092",2022,67
11/12/22,@ North Carolina St.,W 21-20,3:46,"56,919",2022,67
11/19/22,@ 18 Notre Dame,L 0-44,3:00,"73,503",2022,67
11/26/22,Syracuse,L 23-32,3:30,"30,113",2022,67
9/3/22,@ 4 Ohio St.,L 10-21,3:15,"106,594",2022,513
9/10/22,Marshall,L 21-26,3:14,"77,622",2022,513
