start_spot,edp
1,1
2,1.08
3,1.18
4,1.34
5,1.4
6,1.43
7,1.37
8,1.41
9,1.56
10,1.45
11,1.46
12,1.59
13,1.6
14,1.64
15,1.64
16,1.65
17,1.61
18,1.69
19,1.66
20,1.72
21,1.81
22,1.77
23,1.79
24,1.9
25,1.9
26,1.92
27,1.96
28,1.94
29,2.06
30,2.14
31,2.14
32,2.15
33,2.18
34,2.27
35,2.2
36,2.3
37,2.34
38,2.51
39,2.4
40,2.42
41,2.59
42,2.56
43,2.51
44,2.75
45,2.69
46,2.64
47,2.82
48,2.84
49,2.8
50,2.89
51,2.88
52,3.03
53,3.23
54,3.12
55,3.16
56,3.23
57,3.17
58,3.36
59,3.42
60,3.42
61,3.74
62,3.61
63,3.63
64,3.67
65,3.77
66,3.84
67,3.98
68,4.03
69,3.8
70,4.05
71,4.12
72,4.2
73,4.29
74,4.3
75,4.24
76,4.4
77,4.3
78,4.4
79,4.46
80,4.63
81,4.47
82,4.77
83,4.74
84,4.84
85,4.68
86,4.98
87,4.76
88,4.96
89,5.02
90,4.84
91,5.23
92,5.53
93,5.18
94,5.75
95,5.96
96,5.95
97,6.04
98,6.17
99,6.48
