Conference Code,Name,Subdivision
818,Sun Belt Conference,FBS
821,Atlantic Coast Conference,FBS
823,American Athletic Conference,FBS
825,Big Sky,FCS
827,Big Ten Conference,FBS
837,Colonial,FCS
838,Patriot,FCS
846,Northeast,FCS
853,MVFC,FCS
875,Mid-American Conference,FBS
876,Mid-Eastern,FCS
902,Big South/OVC,FCS
905,Pac-12 Conference,FBS
911,Southeastern Conference,FBS
912,Southern,FCS
914,Southland,FCS
916,Southwestern,FCS
920,ASUN/WAC,FCS
5486,Mountain West Conference,FBS
24312,Conference USA,FBS
25354,Big 12 Conference,FBS
99001,Independent,FBS
99005,Independent,FCS
