Game Code,Attendance,Duration
0630065720230826,63411,207
0231036620230826,16299,217
0704031520230826,17983,195
0726051320230826,49000,170
0277073620230826,21406,215
0400047220230826,15356,212
0572025420230831,15546,205
0331012820230831,44088,200
0463042820230831,53629,207
1068074920230831,30028,191
0488000920230831,25363,173
0667002820230831,47773,366
0367025520230901,36101,223
0674027720230901,13739,224
0414041520230901,49024,178
0141025320230902,17803,187
0005069020230902,12456,220
0670005120230902,44945,226
0380023120230902,16878,264
0400003720230902,88043,194
0700081120230902,26450,229
0366066320230902,21490,213
0006073620230902,22035,205
0153068820230902,32465,194
0017066420230902,30335,210
0457064820230902,68723,193
0676071620230902,28179,235
0071035520230902,18811,213
0473069720230902,97560,211
0014038820230902,25101,194
0086079620230902,76224,213
0651077220230902,15438,250
0107049720230902,21349,213
0083031720230902,23756,192
2915054520230902,45096,181
0574070320230902,98017,191
0754015620230902,31497,204
1004052120230902,53855,212
0202014020230902,38193,203
0406043320230902,60097,201
0655043020230902,50041,181
0731031220230902,69250,213
0196041820230902,109482,194
0711039220230902,37241,206
0066075620230902,67475,213
1092002720230902,36075,191
0508067120230902,18186,228
0746069420230902,69507,212
0419000820230902,100077,191
0771047220230902,17943,205
0149011020230902,43705,206
0646071820230902,26973,198
2743070420230902,30738,187
0501002920230902,48159,192
0157069820230902,53294,219
0503006720230902,30122,217
0523074220230902,65632,198
0550052920230902,45723,214
0647045820230902,15622,182
0466065720230902,62916,197
0695025720230902,92746,232
0624007720230902,59006,200
0439022920230902,20893,223
0047033420230902,58286,202
0518030620230902,50050,195
0691051320230902,77622,188
0654032720230902,52066,189
0725049820230902,18915,200
0061040420230902,26632,203
0706028820230902,37862,210
0768053920230902,110747,194
0769003120230902,44397,203
0504031120230902,58248,191
0096055920230902,54898,216
0709030120230902,48899,222
0030052220230902,83221,199
0365023420230903,65429,206
0147019320230904,31638,206
0454036720230907,45273,207
0287077220230909,20712,188
0671052320230909,18154,192
0774068820230909,32637,208
0108052820230909,35728,185
0204042820230909,48101,186
0419043420230909,57645,199
0647025520230909,31452,191
0285006720230909,40122,351
0663052220230909,84186,194
0315014920230909,16006,240
0719075620230909,63128,180
0519022920230909,17934,220
0559074220230909,65632,188
0180053920230909,108575,203
0697041520230909,48792,233
0317074620230909,56508,280
0244064820230909,78281,203
0463015720230909,53241,207
0716032720230909,51940,195
0029043020230909,51648,212
0048014720230909,81500,194
0331003120230909,73173,166
0037010720230909,44141,192
0667007720230909,60834,193
0043069420230909,101915,214
0433071820230909,30000,210
0194076820230909,50037,309
0748072620230909,29798,267
0342019320230909,17481,173
0404003020230909,18724,185
0703000820230909,100077,205
0508036620230909,19152,217
0228065120230909,36495,223
0140054520230909,49398,200
0472035520230909,20123,188
0529070020230909,56200,224
0458039220230909,32804,205
0164025420230909,15186,199
0721062420230909,25121,161
0414040020230909,9207,410
0128006620230909,36447,196
0483069820230909,45010,204
0202033420230909,61876,180
0817051820230909,102900,191
0674065720230909,67213,197
0178072520230909,25153,204
0655064620230909,15237,102
0690058720230909,45317,210
0402023520230909,88163,181
0312031120230909,61500,187
0796075420230909,33024,203
0670070620230909,49342,212
0465041820230909,109482,185
0110062620230909,32017,200
0388019620230909,38211,307
0513049020230909,56919,325
0027045720230909,50500,218
0704050920230909,14851,180
0009025320230909,20103,208
0521002820230909,42569,191
0736074920230909,28363,322
