"","game_code","date","stadium_code","stadium_name","home_away","team_code","team_name","points","drives","drives_1st_half","drives_2nd_half","drives_overtime","minutes","duration","all_plays"
"1","0414040020230909","09/09/2023",173,"Warren McGuirk Alumni Stadium","away",414,"Miami (OH)",41,14,6,8,0,410,"6 hours 50 minutes",57
"2","0414040020230909","09/09/2023",173,"Warren McGuirk Alumni Stadium","home",400,"UMass",28,14,6,8,0,410,"6 hours 50 minutes",65
"3","0667002820230831","08/31/2023",10,"Sun Devil Stadium","away",667,"Southern Utah",21,10,5,5,0,366,"6 hours 6 minutes",49
"4","0667002820230831","08/31/2023",10,"Sun Devil Stadium","home",28,"Arizona State",24,12,5,7,0,366,"6 hours 6 minutes",65
"5","0285006720230909","09/09/2023",61,"Alumni Stadium","away",285,"Holy Cross",28,8,3,5,0,351,"5 hours 51 minutes",54
"6","0285006720230909","09/09/2023",61,"Alumni Stadium","home",67,"Boston College",31,9,4,5,0,351,"5 hours 51 minutes",68
"7","0513049020230909","09/09/2023",82,"Carter-Finley Stadium","away",513,"Notre Dame",45,16,8,8,0,325,"5 hours 25 minutes",61
"8","0513049020230909","09/09/2023",82,"Carter-Finley Stadium","home",490,"NC State",24,16,8,8,0,325,"5 hours 25 minutes",78
"9","0736074920230909","09/09/2023",83,"Truist Field","away",736,"Vanderbilt",20,10,6,4,0,322,"5 hours 22 minutes",63
"10","0736074920230909","09/09/2023",83,"Truist Field","home",749,"Wake Forest",36,11,6,5,0,322,"5 hours 22 minutes",74
"11","0671000920230916","09/16/2023",329,"Protective Stadium","away",671,"Louisiana",41,14,7,7,0,311,"5 hours 11 minutes",64
"12","0671000920230916","09/16/2023",329,"Protective Stadium","home",9,"UAB",21,13,7,6,0,311,"5 hours 11 minutes",73
"13","0194076820230909","09/09/2023",143,"Mountaineer Field at Milan Puskar Stadium","away",194,"Duquesne",17,15,9,6,0,309,"5 hours 9 minutes",60
